What's the capital of Malaysia?,Kuala Lumpur
What is 5 + 7?,12
What language is primarily used for Android apps?,Kotlin
What planet is known as the Red Planet?,Mars
What does CPU stand for?,Central Processing Unit
What is the capital of Japan?,Tokyo
What is 9 × 8?,72
What keyword defines a function in Python?,def
What is the largest ocean on Earth?,Pacific Ocean
What does RAM stand for?,Random Access Memory
What is the chemical symbol for water?,H2O
Who wrote Romeo and Juliet?,William Shakespeare
What is the square root of 64?,8
What data structure uses FIFO order?,Queue
What does HTML stand for?,HyperText Markup Language
